category,label_id
Arts  Crafts Supplies,0
Audio/Video Receivers  Amplifiers,1
Automotive Tires  Wheels,2
Automotive Tools  Equipment,3
Baby  Toddler Toys,4
Bath  Body,5
Bathroom Hardware,6
Beauty,7
Beauty Tools  Accessories,8
Bedding,9
Building  Construction Toys,10
Building Supplies,11
Computer Components,12
Cutting Tools,13
Data Storage,14
Digital Media Devices,15
Dishwashing Supplies,16
Door Hardware  Locks,17
Electronics,18
Flashlights,19
Fresh Flowers  Indoor Plants,20
Furniture Hardware,21
Gate Hardware,22
Hand Tools,23
Handmade Jewellery,24
Hardware,25
Hardware Hooks,26
Home Theatre Systems,27
Household Cleaning,28
Household Cleaning Tools,29
Industrial  Scientific,30
Job Site Lighting,31
Kitchen Utensils  Gadgets,32
Kites  Wind Spinners,33
Ladders,34
Laundry Supplies,35
Locks  Hasps,36
Mailboxes  Accessories,37
Makeup,38
Material Transport Equipment,39
Men's Shoes,40
Motorcycle Accessories  Parts,41
"Nails, Screws  Fasteners",42
Outdoor Décor,43
Perfume  Cologne,44
Play Sets  Playground Equipment,45
Pogo Sticks  Hopping Toys,46
RV Parts  Accessories,47
Salon  Spa Equipment,48
Sandboxes  Beach Toys,49
Satellite Television Equipment,50
Scaffolding Equipment,51
Shaving  Hair Removal Products,52
Skin Care Products,53
Swimming Pool  Outdoor Water Toys,54
TV Accessories,55
Tableware,56
Tattooing Supplies,57
Televisions,58
Televisions  Video,59
Window Hardware,60
Women's Accessories,61
Women's Shoes,62
